phi,r,z
1.438021,2.470332,1.231792
1.440614,2.470097,1.232474
1.443207,2.469864,1.233151
1.445801,2.469633,1.233821
1.448396,2.469405,1.234486
1.450991,2.469180,1.235145
1.453586,2.468956,1.235798
1.456182,2.468735,1.236445
1.458778,2.468517,1.237087
1.461375,2.468301,1.237723
1.463972,2.468087,1.238353
1.466570,2.467876,1.238977
1.469168,2.467667,1.239596
1.471767,2.467461,1.240208
1.474366,2.467257,1.240815
1.476965,2.467055,1.241416
1.479565,2.466857,1.242012
1.482165,2.466660,1.242601
1.484765,2.466466,1.243185
1.487366,2.466274,1.243763
1.489968,2.466085,1.244335
1.492570,2.465899,1.244901
1.495172,2.465715,1.245462
1.497774,2.465533,1.246016
1.500377,2.465354,1.246565
1.502980,2.465177,1.247108
1.505584,2.465003,1.247645
1.508188,2.464832,1.248177
1.510792,2.464663,1.248702
1.513397,2.464496,1.249222
1.516002,2.464332,1.249736
1.518607,2.464171,1.250244
1.521213,2.464012,1.250746
1.523819,2.463856,1.251243
1.526426,2.463702,1.251733
1.529032,2.463551,1.252218
1.531639,2.463402,1.252697
1.534247,2.463256,1.253170
1.536854,2.463113,1.253637
1.539462,2.462972,1.254098
1.542071,2.462833,1.254554
1.544679,2.462698,1.255003
1.547288,2.462564,1.255447
1.549897,2.462434,1.255885
1.552506,2.462306,1.256317
1.555116,2.462180,1.256743
1.557726,2.462057,1.257163
1.560336,2.461937,1.257578
1.562947,2.461820,1.257986
1.565557,2.461705,1.258389
1.568168,2.461592,1.258786
1.570780,2.461483,1.259177
1.573391,2.461375,1.259562
1.576003,2.461271,1.259941
1.578615,2.461169,1.260315
1.581227,2.461070,1.260682
1.583839,2.460973,1.261044
1.586452,2.460879,1.261399
1.589064,2.460788,1.261749
1.591677,2.460699,1.262093
1.594290,2.460613,1.262431
1.596904,2.460530,1.262763
1.599517,2.460449,1.263090
1.602131,2.460371,1.263410
1.604745,2.460296,1.263725
1.607359,2.460223,1.264033
1.609973,2.460153,1.264336
1.612588,2.460086,1.264633
1.615202,2.460021,1.264924
1.617817,2.459959,1.265209
1.620432,2.459900,1.265488
1.623047,2.459843,1.265761
1.625662,2.459789,1.266029
1.628277,2.459738,1.266290
1.630892,2.459689,1.266546
1.633508,2.459643,1.266795
1.636123,2.459600,1.267039
1.638739,2.459560,1.267277
1.641355,2.459522,1.267509
1.643971,2.459487,1.267735
1.646587,2.459454,1.267955
1.649203,2.459425,1.268169
1.651819,2.459398,1.268377
1.654435,2.459373,1.268580
1.657051,2.459352,1.268776
1.659668,2.459333,1.268967
1.662284,2.459317,1.269152
1.664901,2.459303,1.269330
1.667517,2.459293,1.269503
1.670134,2.459285,1.269670
1.672751,2.459279,1.269831
1.675367,2.459277,1.269987
1.677984,2.459277,1.270136
1.680601,2.459280,1.270279
1.683217,2.459285,1.270416
1.685834,2.459294,1.270548
1.688451,2.459305,1.270674
1.691067,2.459318,1.270793
1.693684,2.459335,1.270907
1.696301,2.459354,1.271015
1.698918,2.459376,1.271117
1.701534,2.459401,1.271213
1.704151,2.459428,1.271303
1.706768,2.459458,1.271387
1.709384,2.459491,1.271465
1.712001,2.459527,1.271537
1.714617,2.459565,1.271604
1.717234,2.459606,1.271664
1.719850,2.459650,1.271719
1.722467,2.459697,1.271768
1.725083,2.459746,1.271810
1.727699,2.459798,1.271847
1.730315,2.459853,1.271878
1.732931,2.459910,1.271903
1.735547,2.459971,1.271922
1.738163,2.460034,1.271936
1.740779,2.460099,1.271943
1.743395,2.460168,1.271944
1.746010,2.460239,1.271940
1.748626,2.460313,1.271929
1.751241,2.460389,1.271913
1.753856,2.460469,1.271891
1.756471,2.460551,1.271862
1.759086,2.460636,1.271828
1.761701,2.460723,1.271788
1.764315,2.460814,1.271742
1.766930,2.460907,1.271690
1.769544,2.461002,1.271633
1.772158,2.461101,1.271569
1.774772,2.461202,1.271499
1.777386,2.461306,1.271424
1.780000,2.461413,1.271343
1.782613,2.461522,1.271255
1.785226,2.461634,1.271162
1.787839,2.461749,1.271063
1.790452,2.461867,1.270958
1.793065,2.461987,1.270847
1.795677,2.462110,1.270730
1.798290,2.462236,1.270608
1.800902,2.462364,1.270479
1.803513,2.462495,1.270345
1.806125,2.462629,1.270204
1.808736,2.462766,1.270058
1.811347,2.462905,1.269906
1.813958,2.463047,1.269748
1.816569,2.463192,1.269584
1.819179,2.463339,1.269414
1.821789,2.463489,1.269238
1.824399,2.463642,1.269056
1.827008,2.463798,1.268869
1.829617,2.463956,1.268675
