t,sum_log_stretch
2824.445285,120.548040
2827.342793,120.714321
2830.183974,121.033706
2832.973061,121.355251
2835.714269,121.608595
2838.411670,121.793311
2841.069116,121.928734
2843.690190,122.037921
2846.278186,122.140055
2848.836108,122.244115
2851.366680,122.348652
2853.872361,122.447975
2856.355366,122.537705
2858.817692,122.616276
2861.261132,122.684080
2863.687303,122.742300
2866.097661,122.792117
2868.493523,122.834352
2870.876077,122.869387
2873.246403,122.897234
2875.605479,122.917650
2877.954199,122.930251
2880.293376,122.934585
2882.623756,122.930205
2884.946025,122.916716
2887.260813,122.893876
2889.568703,122.861750
2891.870232,122.821031
2894.165902,122.773597
2896.456179,122.723448
2898.741501,122.677954
2901.022275,122.648683
2903.298886,122.649841
2905.571697,122.692482
2907.841052,122.777561
2910.107278,122.895320
2912.370687,123.031763
2914.631577,123.174974
2916.890234,123.317215
2919.146934,123.454282
2921.401947,123.584247
2923.655530,123.706461
2925.907940,123.820937
2928.159423,123.928001
2930.410226,124.028112
2932.660589,124.121767
2934.910754,124.209450
2937.160958,124.291618
2939.411442,124.368692
2941.662445,124.441053
2943.914212,124.509048
2946.166986,124.572993
2948.421020,124.633181
2950.676569,124.689886
2952.933895,124.743370
2955.193268,124.793892
2957.454969,124.841708
2959.719288,124.887082
2961.986528,124.930285
2964.257004,124.971597
2966.531050,125.011307
2968.809015,125.049707
2971.091269,125.087081
2973.378205,125.123701
2975.670241,125.159814
2977.967822,125.195629
2980.271426,125.231314
2982.581566,125.266987
2984.898796,125.302717
2987.223713,125.338525
2989.556964,125.374408
2991.899255,125.410357
2994.251353,125.446400
2996.614098,125.482637
2998.988410,125.519248
3001.375299,125.556471
3003.775879,125.594549
3006.191381,125.633658
3008.623163,125.673873
3011.072733,125.715179
3013.541763,125.757546
3016.032111,125.801003
3018.545840,125.845682
3021.085242,125.891762
3023.652861,125.939240
3026.251508,125.987496
3028.884281,126.034806
3031.554573,126.078147
3034.266062,126.113799
3037.022688,126.139059
3039.828600,126.154896
3042.688064,126.168555
3045.605323,126.193770
3048.584404,126.239537
3051.628870,126.294270
3054.741520,126.360792
3057.924082,126.481991
3061.176931,126.659966
3064.498922,126.867867
3067.887374,127.110629
3071.338250,127.352691
3074.846492,127.522624
3078.406396,127.595935
3082.011917,127.596380
3085.656960,127.636455
3089.335667,127.752763
3093.042548,127.980468
3096.772500,128.296417
3100.520907,128.573458
3104.283786,128.784139
3108.057792,128.961699
3111.840260,129.019102
3115.629255,129.192181
3119.423246,129.482005
3123.220609,129.830753
3127.019487,130.172972
3130.817956,130.480419
3134.614101,130.792765
3138.406143,130.888925
3142.192537,131.113472
3145.971644,131.467563
3149.741235,131.832998
3153.498345,132.191769
3157.239360,132.540815
3160.960019,132.927379
3164.655471,133.124951
3168.320441,133.279470
3171.949271,133.635349
3175.535974,133.938956
3179.074437,134.234240
3182.558729,134.502717
3185.983386,134.835947
3189.343742,135.220571
3192.636311,135.483930
3195.859059,135.615033
3199.011504,135.804964
3202.094628,136.036729
3205.110656,136.211295
3208.062750,136.338928
3210.954707,136.425509
3213.790675,136.446239
3216.574926,136.364953
3219.311691,136.129630
3222.005039,135.672988
3224.658801,135.602188
3227.276537,136.309935
3229.861510,136.835813
3232.416695,137.201975
3234.944788,137.471354
3237.448219,137.677604
3239.929182,137.840484
3242.389647,137.973022
3244.831392,138.084533
3247.256014,138.181902
3249.664957,138.270103
3252.059521,138.352432
3254.440884,138.430745
3256.810115,138.505795
3259.168185,138.577639
3261.515978,138.646020
3263.854301,138.710644
3266.183894,138.771325
3268.505437,138.828038
3270.819555,138.880898
3273.126827,138.930130
3275.427787,138.976017
3277.722932,139.018866
3280.012728,139.058980
3282.297606,139.096639
3284.577973,139.132093
3286.854213,139.165563
3289.126685,139.197240
3291.395733,139.227297
3293.661682,139.255896
3295.924842,139.283199
3298.185510,139.309373
3300.443971,139.334603
3302.700502,139.359096
3304.955369,139.383086
3307.208832,139.406839
3309.461144,139.430649
3311.712553,139.454838
3313.963304,139.479750
3316.213638,139.505741
3318.463796,139.533163
3320.714017,139.562350
3322.964539,139.593597
3325.215604,139.627142
3327.467455,139.663150
3329.720337,139.701697
3331.974502,139.742767
3334.230206,139.786251
3336.487713,139.831954
3338.747293,139.879613
3341.009228,139.928912
3343.273808,139.979501
3345.541337,140.031019
3347.812134,140.083105
3350.086532,140.135416
3352.364883,140.187635
3354.647559,140.239473
3356.934955,140.290677
3359.227491,140.341023
3361.525615,140.390319
3363.829809,140.438402
3366.140589,140.485136
3368.458512,140.530420
3370.784181,140.574197
3373.118247,140.616471
3375.461422,140.657328
3377.814480,140.696951
3380.178268,140.735621
3382.553714,140.773683
3384.941838,140.811489
3387.343766,140.849329
3389.760738,140.887408
3392.194129,140.925897
3394.645462,140.965021
3397.116428,141.005122
3399.608904,141.046739
3402.124977,141.090837
3404.666965,141.138936
3407.237438,141.192386
3409.839239,141.251081
3412.475495,141.313533
3415.149627,141.378886
3417.865335,141.448696
3420.626574,141.526255
3423.437489,141.612382
3426.302321,141.700264
3429.225261,141.776047
3432.210259,141.826776
3435.260785,141.850710
3438.379563,141.864910
3441.568284,141.899481
3444.827342,141.957737
3448.155634,142.037816
3451.550497,142.198118
3455.007803,142.433797
3458.522246,142.709119
3462.087762,142.999514
3465.698026,143.232578
3469.346846,143.366707
3473.028382,143.399686
3476.737328,143.422746
3480.469046,143.578412
3484.219457,143.814928
3487.984824,144.144151
3491.761773,144.420506
3495.547406,144.636230
3499.339321,144.839766
3503.135717,144.895248
3506.935427,145.120526
3510.737504,145.436368
3514.540723,145.799926
3518.343516,146.148077
3522.144162,146.479097
3525.940878,146.800093
3529.731976,146.873985
3533.515924,147.155812
3537.290965,147.510033
3541.054659,147.880103
3544.803798,148.234796
3548.534495,148.594419
3552.242177,148.982449
3555.921682,149.149961
3559.567435,149.339911
3563.173544,149.690550
3566.733907,149.986884
3570.242492,150.270273
3573.693646,150.528425
3577.082392,150.860561
3580.404749,151.242128
3583.658048,151.505896
3586.841120,151.639880
3589.954304,151.814426
3592.999291,152.037895
3595.978855,152.212747
3598.896543,152.338919
3601.756383,152.427595
3604.562621,152.462293
3607.319530,152.409665
3610.031266,152.209074
3612.701775,151.612746
3615.334742,151.581819
3617.933562,151.667659
3620.501336,151.929263
3623.040879,152.717547
3625.554735,153.136387
3628.045199,153.426687
3630.514336,153.645758
3632.964003,153.818728
3635.395875,153.959787
3637.811458,154.078183
3640.212114,154.180452
3642.599072,154.271369
3644.973447,154.354378
3647.336250,154.431834
3649.688402,154.505191
3652.030742,154.575212
3654.364039,154.642188
3656.688997,154.706142
3659.006264,154.766994
3661.316439,154.824667
3663.620075,154.879144
3665.917685,154.930483
3668.209747,154.978815
3670.496707,155.024321
3672.778983,155.067217
3675.056967,155.107732
3677.331029,155.146094
3679.601521,155.182523
3681.868774,155.217219
3684.133104,155.250365
3686.394815,155.282127
3688.654197,155.312657
3690.911529,155.342095
3693.167083,155.370580
3695.421120,155.398250
3697.673897,155.425248
3699.925663,155.451730
3702.176666,155.477864
3704.427147,155.503832
3706.677348,155.529835
3708.927507,155.556085
3711.177864,155.582810
3713.428659,155.610239
3715.680133,155.638603
3717.932532,155.668123
3720.186103,155.698998
3722.441102,155.731398
3724.697787,155.765451
3726.956427,155.801237
3729.217298,155.838778
3731.480686,155.878041
3733.746890,155.918933
3736.016221,155.961310
3738.289006,156.004984
3740.565589,156.049734
3742.846332,156.095316
3745.131621,156.141474
3747.421863,156.187954
3749.717494,156.234510
3752.018982,156.280908
3754.326827,156.326935
3756.641567,156.372397
3758.963784,156.417118
3761.294109,156.460948
3763.633226,156.503763
3765.981880,156.545485
3768.340885,156.586103
3770.711135,156.625705
3773.093606,156.664499
3775.489378,156.702800
3777.899639,156.740969
3780.325703,156.779304
3782.769028,156.817963
3785.231228,156.857020
3787.714098,156.896655
3790.219632,156.937341
3792.750044,156.979973
3795.307794,157.026134
3797.895606,157.078121
3800.516483,157.137523
3803.173721,157.203350
3805.870905,157.273284
3808.611885,157.347385
3811.400737,157.429461
3814.241674,157.522978
3817.138927,157.623145
3820.096568,157.714753
3823.118295,157.780747
3826.207171,157.814586
3829.365355,157.829957
3832.593834,157.859236
3835.892202,157.916096
3839.258521,157.997601
3842.689337,158.159960
3846.179867,158.404837
3849.724334,158.689751
3853.316426,158.983281
3856.949789,159.213308
3860.618370,159.347780
3864.316591,159.375825
3868.039515,159.418530
3871.782926,159.591890
3875.543139,159.853323
3879.316772,160.184786
3883.100793,160.454045
3886.892634,160.673253
3890.690227,160.870301
3894.492145,160.920411
3898.297592,161.188067
3902.105928,161.513668
3905.916207,161.885190
3909.727199,162.230823
3913.537614,162.570781
3917.346233,162.864058
3921.152133,162.921385
3924.954704,163.256144
3928.753183,163.612143
3932.546185,163.996245
